"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Aruba","ABW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3.32522359604016","4.09642457181","3.85536769182839","-0.965374832527218","2.48493638431459","-2.397800778012","-4.3087653989944","-1.75669628122601","5.28075326599189","-0.592892312554611","-0.913111282539887","1.5440340474143","-4.02489615560393","-6.9961567885165","-5.7223423397889",,,,
"Andorra","AND","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG",,,,,,,,,,,,"-0.595282953224697","2.79293099528124","2.67604448684109","1.02744261956515","-3.36082242685792","-0.190484236840717","-0.262054684088881","-1.47451079083586","-3.04138462383111","-1.31698124774383","-3.9645143958723","-2.92123113327301","-2.58840072809711","-2.6057066445301","-2.02178180832723","-1.00422687282811","1.31504410903315","0.982744018785397","0.793760871209372","-0.144368906819139","-1.36773404141847","-2.89178404515424","-4.43681438477857","-0.398965641586059","0.91167624319317","3.96590570112549","9.380803188691","3.66548003356542","3.63612256035921","-0.868387922849237","7.49505981318126","0.496273774647065","1.10357097562729","1.88250052628514","3.09722892611639","5.93694080731426","2.15797631030341","5.28420221982388",,,,,
"Afghanistan","AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.15945351295686","-2.74176668391975","7.40915634677567","2.38138344313231","10.6410255604547","0.993682599830237","18.0681369461751","5.80004859985328","3.53364666780276","11.6277058519483",
"Angola","AGO","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG",,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.034867763911663","5.18762075853445","3.04534146828065","-2.12797681614573","-3.02757036974829","-4.15751880246218","-9.86179249784449","-27.145945113662","0.227782304184871","7.10285284898239","8.10123738901869","5.03667510515655","3.99062111076802","0.388998122199368","-0.0528832416071054","0.885720789994807","9.98895360411782","1.59964421897926","7.0232864858591","14.2038270746787","16.6591432309528","18.5067555268807","10.0782842417437","-0.899777435035702","0.114986138125417","0.667374720370503","3.54658842789584",
"Albania","ALB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG",,,,,,,,,,,,,,,,,,,,,,"3.30653260254519","0.627968291164535","-1.18772973387284","-3.58675501487662","-0.752521592412634","2.82128561805268","-3.51222313881992","-3.9291878855568","7.64350116310226","-10.6898890353342","-29.8511439883324","-6.85255777870759","10.5486342354156","9.35321848960236","14.1944600099229","9.64908497136965","-9.93782296911402","12.8986298119716","10.3493719749688","7.72183686399914","7.61424114538755","3.60903849618646","6.48999646537843","6.66351330468878","6.16238497808273","5.54676681428614","6.34654825214405","8.02801912686026","3.47777309170991","3.53423558866963","2.87785850014176","1.33652810504915",
"Arab World","ARB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG",,,,,,,,,,,,,,,,,"9.40761481561805","5.19985631165297","-2.04164408351515","6.40632071203464","5.49529323367601","1.09675981529671","-7.1156348936935","-5.43845189434059","-1.41897470569269","-3.10572253689912","-2.50889556502264","-3.15971061582215","1.73571871713456","-0.590405066431131","4.0364739373023","2.81877992363566","2.37977016907531","0.30287509141418","0.982069140324441","-0.24066557682147","2.29589869904873","1.47935384960434","1.36676859909292","-0.644716666506582","3.05304072288047","0.166030884979861","-0.298025281646773","3.18796990142502","6.59732271129847","3.74634181725017","4.77192724318928","3.30227182967803","3.90265063849931","-0.738279292865116","3.08554083533889","3.4841744145502","2.24272587088537",
"United Arab Emirates","ARE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG",,,,,,,,,,,,,,,,,"-0.427058197844019","4.62903773196477","-13.9117373846672","8.00733748940148","13.0460084370486","-2.61791119779402","-11.9738782471045","-9.41808609261392","-1.02550515550462","-8.59773612900253","-19.7079509236259","-2.61586005911771","-8.32995654693963","5.8944133217115","11.8163037612141","-4.50558421553136","-2.04440411949575","-3.90254293434644","1.57968908208885","1.49759983978244","0.467184609819981","2.46019016892549","-4.97138142568292","-2.08171848229954","5.99186936139051","-2.02454204671881","-0.485321099298659","4.1089721277573","0.899607157517096","-7.53436499044898","-6.53487906501077","-13.2206788856241","-12.0060282306332","-16.1471079093053","-7.03975410601385","-1.74834840529984","1.18454415369662",
"Argentina","ARG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG",,"3.74152482622728","-2.4166200036249","-6.77717074232234","8.46009812329712","8.93341982477445","-2.08740662670604","1.74096946642703","3.34572953671622","8.08457802900978","1.47340489289985","3.95807406012285","-0.0738896036109935","1.0605397493392","3.75942405431194","-1.65396773501107","-3.54767017484076","5.31986540357229","-5.91730414592611","8.59807917079631","2.60089005240809","-7.10992017269317","-6.39629566716947","2.30004387206655","0.668810460548116","-8.9690657661901","6.27825822089625","1.40165878853036","-3.96593478893395","-8.81100950564195","-3.75854921677967","11.1357077913517","10.4526893539258","4.53125625233328","4.49046770321364","-4.05521086460897","4.23722829699543","6.81850422631005","2.64639215188565","-4.45762554590938","-1.83347489532653","-5.35849468347723","-11.7332253698937","7.85426182892519","8.06655336599064","8.22107419766904","7.51721856076308",,,,,,,
"Armenia","ARM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10.8757355304675","-40.7469353510688","-6.63956693553229","7.95431519690442","9.11449725465521","7.52499313070196","4.49906405608917","8.15117312858061","3.93900142865458","6.51011053614003","10.1344350223959","13.667648454482","14.4528551138839","10.8468200804435","14.2711447709769","13.6505827714652","14.2448865212917","7.34497865314658","-13.8800147740373","2.36063716637373","4.6779587870935","7.02088087189263",
"American Samoa","ASM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
