"Aruba"x
"Andorra x"
"Arab World"
"American Samoa"
"Antigua and Barbuda"x
"Bahrain"x
"Bahamas, The"x
"Bermuda"x
"Barbados"x
"Sub-Saharan Africa (IFC classification)"
"East Asia and the Pacific (IFC classification)"
"Europe and Central Asia (IFC classification)"
"Channel Islands"
"Cote d'Ivoire"
"Latin America and the Caribbean (IFC classification)"
"Middle East and North Africa (IFC classification)"
"Congo, Rep."
"Comoros"
"Cabo Verde"
"South Asia (IFC classification)"
"Caribbean small states"
"Curacao"
"Cayman Islands"
"Dominica"
"East Asia & Pacific (developing only)"
"East Asia & Pacific (all income levels)"
"Europe & Central Asia (developing only)"
"Europe & Central Asia (all income levels)"
"Egypt, Arab Rep."x
"Euro area"
"European Union"
"Faeroe Islands"
"Micronesia, Fed. Sts."
"Gambia, The"x
"Guinea-Bissau"x
"Grenada"x
"Guam"x
"High income"
"Hong Kong SAR, China"
"Heavily indebted poor countries (HIPC)"
"Isle of Man"
"Not classified"
"Iran, Islamic Rep."x
"Kazakhstan"x
"Kyrgyz Republic"x
"Kiribati"x
"St. Kitts and Nevis"x
"Korea, Rep."x
"Latin America & Caribbean (developing only)"
"Lao PDR"
"St. Lucia"
"Latin America & Caribbean (all income levels)"
"Least developed countries: UN classification"
"Low income"
"Liechtenstein"
"Lower middle income"
"Low & middle income"
"Macao SAR, China"
"St. Martin (French part)"x
"Monaco"x
"Moldova"x
"Maldives"x
"Middle East & North Africa (all income levels)"
"Marshall Islands"x
"Middle income"x
"Macedonia, FYR"x
"Malta"x
"Middle East & North Africa (developing only)"
"Northern Marxiana Islands"
"Mauritius"
"North America"
"High income: nonOECD"
"High income: OECD"
"OECD members"
"Other small states"
"Palau"
"Korea, Dem. Rep."x
"Pacific island small states"
"French Polynesia"
"South Asia"
"Singapore"
"San Marino"
"Sub-Saharan Africa (developing only)"
"Sub-Saharan Africa (all income levels)"
"Small states"
"Sao Tome and Principe"
"Slovak Republic"x
"Sint Maarten (Dutch part)"
"Seychelles"
"Turks and Caicos Islands"
"Timor-Leste"
"Tonga"
"Tuvalu"
"Tanzania"
"Upper middle income"
"St. Vincent and the Grenadines"
"Venezuela, RB"
"Virgin Islands (U.S.)"
"West Bank and Gaza"
"World"
"Samoa"
"Yemen, Rep."
"Congo, Dem. Rep."
